[2026-01-07 18:04:20.643] [info]    [FILE] System.Security.Cryptography.OpenSsl.dll (15664 bytes)
[2026-01-07 18:04:20.644] [info]    [FILE] System.Security.Cryptography.Primitives.dll (16136 bytes)
[2026-01-07 18:04:20.645] [info]    [FILE] System.Security.Cryptography.X509Certificates.dll (17208 bytes)
[2026-01-07 18:04:20.645] [info]    [FILE] System.Security.dll (18696 bytes)
[2026-01-07 18:04:20.646] [info]    [FILE] System.Security.Principal.dll (15632 bytes)
[2026-01-07 18:04:20.647] [info]    [FILE] System.Security.Principal.Windows.dll (166152 bytes)
[2026-01-07 18:04:20.647] [info]    [FILE] System.Security.SecureString.dll (15624 bytes)
[2026-01-07 18:04:20.648] [info]    [FILE] System.ServiceModel.Web.dll (17160 bytes)
[2026-01-07 18:04:20.649] [info]    [FILE] System.ServiceProcess.dll (16136 bytes)
[2026-01-07 18:04:20.650] [info]    [FILE] System.Text.Encoding.CodePages.dll (858416 bytes)
[2026-01-07 18:04:20.651] [info]    [FILE] System.Text.Encoding.dll (16184 bytes)
[2026-01-07 18:04:20.651] [info]    [FILE] System.Text.Encoding.Extensions.dll (16136 bytes)
[2026-01-07 18:04:20.652] [info]    [FILE] System.Text.Encodings.Web.dll (125192 bytes)
[2026-01-07 18:04:20.653] [info]    [FILE] System.Text.Json.dll (1386808 bytes)
[2026-01-07 18:04:20.653] [info]    [FILE] System.Text.RegularExpressions.dll (960776 bytes)
[2026-01-07 18:04:20.654] [info]    [FILE] System.Threading.Channels.dll (121096 bytes)
[2026-01-07 18:04:20.655] [info]    [FILE] System.Threading.dll (80184 bytes)
[2026-01-07 18:04:20.656] [info]    [FILE] System.Threading.Overlapped.dll (16136 bytes)
[2026-01-07 18:04:20.656] [info]    [FILE] System.Threading.Tasks.Dataflow.dll (440584 bytes)
[2026-01-07 18:04:20.657] [info]    [FILE] System.Threading.Tasks.dll (17168 bytes)
[2026-01-07 18:04:20.658] [info]    [FILE] System.Threading.Tasks.Extensions.dll (16136 bytes)
[2026-01-07 18:04:20.659] [info]    [FILE] System.Threading.Tasks.Parallel.dll (121096 bytes)
[2026-01-07 18:04:20.660] [info]    [FILE] System.Threading.Thread.dll (16184 bytes)
[2026-01-07 18:04:20.660] [info]    [FILE] System.Threading.ThreadPool.dll (16184 bytes)
[2026-01-07 18:04:20.661] [info]    [FILE] System.Threading.Timer.dll (15664 bytes)
[2026-01-07 18:04:20.662] [info]    [FILE] System.Transactions.dll (16648 bytes)
[2026-01-07 18:04:20.662] [info]    [FILE] System.Transactions.Local.dll (596272 bytes)
[2026-01-07 18:04:20.663] [info]    [FILE] System.ValueTuple.dll (15632 bytes)
[2026-01-07 18:04:20.664] [info]    [FILE] System.Web.dll (15664 bytes)
[2026-01-07 18:04:20.664] [info]    [FILE] System.Web.HttpUtility.dll (59704 bytes)
[2026-01-07 18:04:20.665] [info]    [FILE] System.Windows.dll (16176 bytes)
[2026-01-07 18:04:20.665] [info]    [FILE] System.Xml.dll (23856 bytes)
[2026-01-07 18:04:20.666] [info]    [FILE] System.Xml.Linq.dll (16136 bytes)
[2026-01-07 18:04:20.666] [info]    [FILE] System.Xml.ReaderWriter.dll (22328 bytes)
[2026-01-07 18:04:20.667] [info]    [FILE] System.Xml.Serialization.dll (16696 bytes)
[2026-01-07 18:04:20.668] [info]    [FILE] System.Xml.XDocument.dll (16136 bytes)
[2026-01-07 18:04:20.668] [info]    [FILE] System.Xml.XmlDocument.dll (16184 bytes)
[2026-01-07 18:04:20.669] [info]    [FILE] System.Xml.XmlSerializer.dll (18184 bytes)
[2026-01-07 18:04:20.669] [info]    [FILE] System.Xml.XPath.dll (16176 bytes)
[2026-01-07 18:04:20.670] [info]    [FILE] System.Xml.XPath.XDocument.dll (30992 bytes)
[2026-01-07 18:04:20.671] [info]    [FILE] WindowsBase.dll (16648 bytes)
[2026-01-07 18:04:20.671] [info]  --- End Directory Structure ---
[2026-01-07 18:04:20.672] [info]  Searching for SiaeBridge.exe...
[2026-01-07 18:04:20.673] [info]  Resource path: C:\Users\Pc\AppData\Local\Programs\Event Four You SIAE Lettore\resources
[2026-01-07 18:04:20.674] [info]    Checking: C:\Users\Pc\AppData\Local\Programs\Event Four You SIAE Lettore\resources\SiaeBridge\SiaeBridge.exe
[2026-01-07 18:04:20.674] [info]    ✓ FOUND: C:\Users\Pc\AppData\Local\Programs\Event Four You SIAE Lettore\resources\SiaeBridge\SiaeBridge.exe
[2026-01-07 18:04:20.676] [info]  ✓ libSIAE.dll found at C:\Users\Pc\AppData\Local\Programs\Event Four You SIAE Lettore\resources\SiaeBridge\libSIAE.dll
[2026-01-07 18:04:20.681] [info]  WebSocket server started on port 18765
[2026-01-07 18:04:20.682] [info]  Auto-connecting to relay...
[2026-01-07 18:04:20.683] [info]  Connecting to relay: wss://manage.eventfouryou.com/ws/bridge
[2026-01-07 18:04:20.911] [info]  Window shown
[2026-01-07 18:04:21.154] [info]  Relay WebSocket connected
[2026-01-07 18:04:21.160] [info]  Sent bridge_register to relay
[2026-01-07 18:04:21.338] [info]  Relay message received: bridge_register_response
[2026-01-07 18:04:21.340] [info]  ✓ Registered with relay successfully
[2026-01-07 18:04:21.343] [info]  Broadcasting status: {"bridgeConnected":false,"readerConnected":false,"cardInserted":false,"cardSerial":null,"cardCounter":null,"cardBalance":null,"cardKeyId":null,"pinLocked":false}
[2026-01-07 18:04:21.346] [debug] Sent status to relay
[2026-01-07 18:04:21.347] [info]  Broadcasting status: {"bridgeConnected":false,"readerConnected":false,"cardInserted":false,"cardSerial":null,"cardCounter":null,"cardBalance":null,"cardKeyId":null,"pinLocked":false}
[2026-01-07 18:04:21.349] [debug] Sent status to relay
[2026-01-07 18:04:22.961] [info]  IPC: bridge:start
[2026-01-07 18:04:22.962] [info]  Starting bridge: C:\Users\Pc\AppData\Local\Programs\Event Four You SIAE Lettore\resources\SiaeBridge\SiaeBridge.exe
[2026-01-07 18:04:23.384] [info]  [Bridge] READY
[2026-01-07 18:04:23.384] [info]  Bridge READY
[2026-01-07 18:04:23.385] [info]  Starting automatic status polling every 1000ms
[2026-01-07 18:04:23.385] [info]  Broadcasting status: {"bridgeConnected":true,"readerConnected":false,"cardInserted":false,"cardSerial":null,"cardCounter":null,"cardBalance":null,"cardKeyId":null,"pinLocked":false}
[2026-01-07 18:04:23.386] [debug] Sent status to relay
[2026-01-07 18:04:23.387] [info]  Starting automatic status polling every 1000ms
[2026-01-07 18:04:23.392] [info]  IPC: checkReader
[2026-01-07 18:04:23.393] [info]  >> Command: CHECK_READER
[2026-01-07 18:04:23.852] [info]  [Bridge] {"success":true,"readerConnected":true,"cardPresent":false,"message":"Inserire carta SIAE"}
[2026-01-07 18:04:23.852] [info]  << Response: {
  success: true,
  readerConnected: true,
  cardPresent: false,
  message: 'Inserire carta SIAE'
}
[2026-01-07 18:04:24.391] [info]  >> Command: CHECK_READER
[2026-01-07 18:04:24.416] [info]  [Bridge] {"success":true,"readerConnected":true,"cardPresent":false,"message":"Inserire carta SIAE"}
[2026-01-07 18:04:24.417] [info]  << Response: {
  success: true,
  readerConnected: true,
  cardPresent: false,
  message: 'Inserire carta SIAE'
}
[2026-01-07 18:04:24.418] [info]  Status changed, broadcasting update
[2026-01-07 18:04:24.418] [info]  Broadcasting status: {"bridgeConnected":true,"readerConnected":true,"cardInserted":false,"cardSerial":null,"cardCounter":null,"cardBalance":null,"cardKeyId":null,"pinLocked":true}
[2026-01-07 18:04:24.419] [debug] Sent status to relay
[2026-01-07 18:04:25.398] [info]  >> Command: CHECK_READER
[2026-01-07 18:04:25.411] [info]  [Bridge] {"success":true,"readerConnected":true,"cardPresent":false,"message":"Inserire carta SIAE"}
[2026-01-07 18:04:25.412] [info]  << Response: {
  success: true,
  readerConnected: true,
  cardPresent: false,
  message: 'Inserire carta SIAE'
}
[2026-01-07 18:04:26.397] [info]  IPC: checkReader
[2026-01-07 18:04:26.399] [info]  >> Command: CHECK_READER
[2026-01-07 18:04:26.419] [info]  [Bridge] {"success":true,"readerConnected":true,"cardPresent":false,"message":"Inserire carta SIAE"}
[2026-01-07 18:04:26.420] [info]  << Response: {
  success: true,
  readerConnected: true,
  cardPresent: false,
  message: 'Inserire carta SIAE'
}
[2026-01-07 18:04:26.421] [info]  >> Command: CHECK_READER
[2026-01-07 18:04:26.434] [info]  [Bridge] {"success":true,"readerConnected":true,"cardPresent":false,"message":"Inserire carta SIAE"}
[2026-01-07 18:04:26.435] [info]  << Response: {
  success: true,
  readerConnected: true,
  cardPresent: false,
  message: 'Inserire carta SIAE'
}
[2026-01-07 18:04:27.401] [info]  >> Command: CHECK_READER
[2026-01-07 18:04:27.440] [info]  [Bridge] {"success":true,"readerConnected":true,"cardPresent":false,"message":"Inserire carta SIAE"}
[2026-01-07 18:04:27.441] [info]  << Response: {
  success: true,
  readerConnected: true,
  cardPresent: false,
  message: 'Inserire carta SIAE'
}
[2026-01-07 18:04:28.402] [info]  >> Command: CHECK_READER
[2026-01-07 18:04:28.423] [info]  Relay message received: ping
[2026-01-07 18:04:28.441] [info]  [Bridge] {"success":true,"readerConnected":true,"cardPresent":false,"message":"Inserire carta SIAE"}
[2026-01-07 18:04:28.441] [info]  << Response: {
  success: true,
  readerConnected: true,
  cardPresent: false,
  message: 'Inserire carta SIAE'
}
[2026-01-07 18:04:29.402] [info]  IPC: checkReader
[2026-01-07 18:04:29.404] [info]  >> Command: CHECK_READER
[2026-01-07 18:04:29.445] [info]  [Bridge] {"success":true,"readerConnected":true,"cardPresent":false,"message":"Inserire carta SIAE"}
[2026-01-07 18:04:29.446] [info]  << Response: {
  success: true,
  readerConnected: true,
  cardPresent: false,
  message: 'Inserire carta SIAE'
}
[2026-01-07 18:04:29.446] [info]  >> Command: CHECK_READER
[2026-01-07 18:04:29.462] [info]  [Bridge] {"success":true,"readerConnected":true,"cardPresent":false,"message":"Inserire carta SIAE"}
[2026-01-07 18:04:29.462] [info]  << Response: {
  success: true,
  readerConnected: true,
  cardPresent: false,
  message: 'Inserire carta SIAE'
}
[2026-01-07 18:04:30.416] [info]  >> Command: CHECK_READER
[2026-01-07 18:04:30.456] [info]  [Bridge] {"success":true,"readerConnected":true,"cardPresent":false,"message":"Inserire carta SIAE"}
[2026-01-07 18:04:30.457] [info]  << Response: {
  success: true,
  readerConnected: true,
  cardPresent: false,
  message: 'Inserire carta SIAE'
}
[2026-01-07 18:04:31.431] [info]  >> Command: CHECK_READER
[2026-01-07 18:04:31.469] [info]  [Bridge] {"success":true,"readerConnected":true,"cardPresent":false,"message":"Inserire carta SIAE"}
[2026-01-07 18:04:31.470] [info]  << Response: {
  success: true,
  readerConnected: true,
  cardPresent: false,
  message: 'Inserire carta SIAE'
}
[2026-01-07 18:04:32.399] [info]  IPC: checkReader
[2026-01-07 18:04:32.401] [info]  >> Command: CHECK_READER
[2026-01-07 18:04:32.434] [info]  [Bridge] {"success":true,"readerConnected":true,"cardPresent":false,"message":"Inserire carta SIAE"}
[2026-01-07 18:04:32.435] [info]  << Response: {
  success: true,
  readerConnected: true,
  cardPresent: false,
  message: 'Inserire carta SIAE'
}
[2026-01-07 18:04:32.436] [info]  >> Command: CHECK_READER
[2026-01-07 18:04:32.449] [info]  [Bridge] {"success":true,"readerConnected":true,"cardPresent":false,"message":"Inserire carta SIAE"}
[2026-01-07 18:04:32.450] [info]  << Response: {
  success: true,
  readerConnected: true,
  cardPresent: false,
  message: 'Inserire carta SIAE'
}
